importing BLAga
Mismatch at C[0,0]: ngsolve=363.69337628416577, BLAga=8.6e-322
Mismatch at C[1,0]: ngsolve=361.91524120801665, BLAga=8.35e-322
Mismatch at C[2,0]: ngsolve=362.43243443872336, BLAga=9.04e-322
Mismatch at C[3,0]: ngsolve=363.40162117460125, BLAga=8.84e-322
Mismatch at C[4,0]: ngsolve=370.72404963129014, BLAga=8.6e-322
Mismatch at C[5,0]: ngsolve=354.4936784638187, BLAga=8.4e-322
Mismatch at C[6,0]: ngsolve=355.1110985559062, BLAga=8.5e-322
Mismatch at C[7,0]: ngsolve=352.0178761924895, BLAga=9.04e-322
Mismatch at C[8,0]: ngsolve=374.87182459717945, BLAga=1.047e-321
Mismatch at C[9,0]: ngsolve=371.3085636449393, BLAga=9.1e-322
Mismatch at C[10,0]: ngsolve=355.4913193310833, BLAga=9.54e-322
Mismatch at C[11,0]: ngsolve=354.70569643387483, BLAga=8.5e-322
Mismatch at C[12,0]: ngsolve=361.9483745198744, BLAga=9.54e-322
Mismatch at C[13,0]: ngsolve=355.2245858859094, BLAga=8.4e-322
Mismatch at C[14,0]: ngsolve=359.75792184563426, BLAga=8.9e-322
Mismatch at C[15,0]: ngsolve=370.6163264055731, BLAga=9.54e-322
Mismatch at C[16,0]: ngsolve=356.293884798522, BLAga=8.74e-322
Mismatch at C[17,0]: ngsolve=364.8541745092263, BLAga=8.5e-322
Mismatch at C[18,0]: ngsolve=365.91140320277594, BLAga=9.14e-322
Mismatch at C[19,0]: ngsolve=360.6293234123526, BLAga=8.4e-322
Mismatch at C[20,0]: ngsolve=363.554390329551, BLAga=9.5e-322
Mismatch at C[21,0]: ngsolve=360.61006315525265, BLAga=9.14e-322
Mismatch at C[22,0]: ngsolve=357.0273125395802, BLAga=8.74e-322
Mismatch at C[23,0]: ngsolve=360.1478586518793, BLAga=8.65e-322
Mismatch at C[24,0]: ngsolve=364.2948506198484, BLAga=9.93e-322
Mismatch at C[25,0]: ngsolve=357.657938707949, BLAga=8.65e-322
Mismatch at C[26,0]: ngsolve=361.18712895180084, BLAga=8.2e-322
Mismatch at C[27,0]: ngsolve=356.7581962858937, BLAga=8.45e-322
Mismatch at C[28,0]: ngsolve=355.99832561740686, BLAga=9.34e-322
Mismatch at C[29,0]: ngsolve=364.5248703518887, BLAga=8.65e-322
Mismatch at C[30,0]: ngsolve=373.65579559114207, BLAga=9.83e-322
Mismatch at C[31,0]: ngsolve=357.538664689354, BLAga=8.25e-322
Mismatch at C[32,0]: ngsolve=355.98581764201606, BLAga=8.2e-322
Mismatch at C[33,0]: ngsolve=366.47102001307513, BLAga=8.8e-322
Mismatch at C[34,0]: ngsolve=358.4065215464612, BLAga=8.65e-322
Mismatch at C[35,0]: ngsolve=367.19131722318076, BLAga=9.24e-322
Mismatch at C[36,0]: ngsolve=358.6332448527114, BLAga=7.56e-322
Mismatch at C[37,0]: ngsolve=367.44792230183043, BLAga=9.93e-322
Mismatch at C[38,0]: ngsolve=368.2263307852916, BLAga=9.34e-322
Mismatch at C[39,0]: ngsolve=364.05930127161656, BLAga=9.24e-322
Mismatch at C[40,0]: ngsolve=354.58045076518823, BLAga=8.74e-322
Mismatch at C[41,0]: ngsolve=354.5956760737042, BLAga=8.74e-322
Mismatch at C[42,0]: ngsolve=363.09003860976446, BLAga=9.6e-322
Mismatch at C[43,0]: ngsolve=354.4037859851021, BLAga=8.55e-322
Mismatch at C[44,0]: ngsolve=355.72902179133774, BLAga=8.9e-322
Mismatch at C[45,0]: ngsolve=370.4139267196254, BLAga=8.65e-322
Mismatch at C[46,0]: ngsolve=370.25812735913036, BLAga=9.93e-322
Mismatch at C[47,0]: ngsolve=362.9593754799742, BLAga=8.45e-322
Mismatch at C[48,0]: ngsolve=362.3917486251373, BLAga=9e-322
Mismatch at C[49,0]: ngsolve=369.1122674475439, BLAga=9.83e-322
Mismatch at C[50,0]: ngsolve=352.5913017069569, BLAga=9e-322
Mismatch at C[51,0]: ngsolve=356.37908296069963, BLAga=9.5e-322
Mismatch at C[52,0]: ngsolve=349.9576025907172, BLAga=8.55e-322
Mismatch at C[53,0]: ngsolve=368.89634336933244, BLAga=9.14e-322
Mismatch at C[54,0]: ngsolve=364.0081211805313, BLAga=9e-322
Mismatch at C[55,0]: ngsolve=360.8092451129173, BLAga=8.45e-322
Mismatch at C[56,0]: ngsolve=377.09468363173016, BLAga=1.02e-321
Mismatch at C[57,0]: ngsolve=352.36314643170664, BLAga=8.55e-322
Mismatch at C[58,0]: ngsolve=351.76045051374905, BLAga=8.4e-322
Mismatch at C[59,0]: ngsolve=364.88442231047844, BLAga=9.14e-322
Mismatch at C[60,0]: ngsolve=362.4827411446, BLAga=9.7e-322
Mismatch at C[61,0]: ngsolve=373.9104011220631, BLAga=9.24e-322
Mismatch at C[62,0]: ngsolve=350.8265200039996, BLAga=8.3e-322
Mismatch at C[63,0]: ngsolve=352.24961929613136, BLAga=8.15e-322
Mismatch at C[64,0]: ngsolve=364.79371021151815, BLAga=8.35e-322
Mismatch at C[65,0]: ngsolve=361.16925814805677, BLAga=8.9e-322
Mismatch at C[66,0]: ngsolve=354.5123303351193, BLAga=7.9e-322
Mismatch at C[67,0]: ngsolve=370.37010814356876, BLAga=8.65e-322
Mismatch at C[68,0]: ngsolve=359.5427549989804, BLAga=9.34e-322
Mismatch at C[69,0]: ngsolve=363.1075129479321, BLAga=9.44e-322
Mismatch at C[70,0]: ngsolve=350.2209856616679, BLAga=8.05e-322
Mismatch at C[71,0]: ngsolve=363.19750754593076, BLAga=8.35e-322
Mismatch at C[72,0]: ngsolve=355.587223710324, BLAga=8.1e-322
Mismatch at C[73,0]: ngsolve=372.6060714765478, BLAga=9.14e-322
Mismatch at C[74,0]: ngsolve=363.94419898366374, BLAga=9.3e-322
Mismatch at C[75,0]: ngsolve=362.5245522045111, BLAga=9.24e-322
Mismatch at C[76,0]: ngsolve=369.13530097109066, BLAga=9.24e-322
Mismatch at C[77,0]: ngsolve=358.5477741552112, BLAga=8.3e-322
Mismatch at C[78,0]: ngsolve=356.5027080075252, BLAga=9.2e-322
Mismatch at C[79,0]: ngsolve=361.59393815959584, BLAga=9.04e-322
Mismatch at C[80,0]: ngsolve=357.8997663961315, BLAga=9.54e-322
Mismatch at C[81,0]: ngsolve=353.43695192946956, BLAga=8.7e-322
Mismatch at C[82,0]: ngsolve=353.4371757703779, BLAga=8.35e-322
Mismatch at C[83,0]: ngsolve=351.7392031723596, BLAga=7.9e-322
Mismatch at C[84,0]: ngsolve=366.445510378721, BLAga=9.2e-322
Mismatch at C[85,0]: ngsolve=370.1743766174223, BLAga=9.4e-322
Mismatch at C[86,0]: ngsolve=360.7928004206473, BLAga=9.2e-322
Mismatch at C[87,0]: ngsolve=358.58719863199104, BLAga=8.3e-322
Mismatch at C[88,0]: ngsolve=364.61871304045076, BLAga=9.9e-322
Mismatch at C[89,0]: ngsolve=364.89834677659996, BLAga=9.73e-322
Mismatch at C[90,0]: ngsolve=364.3684773436667, BLAga=1.01e-321
Mismatch at C[91,0]: ngsolve=365.2316497305477, BLAga=9.3e-322
Mismatch at C[92,0]: ngsolve=363.27598273470517, BLAga=8.3e-322
Mismatch at C[93,0]: ngsolve=367.51085356452916, BLAga=1.01e-321
Mismatch at C[94,0]: ngsolve=354.7471226089697, BLAga=8.8e-322
Mismatch at C[95,0]: ngsolve=370.9559366938688, BLAga=9.44e-322
Mismatch at C[96,0]: ngsolve=364.7064720631972, BLAga=8.9e-322
Mismatch at C[97,0]: ngsolve=358.6963044539089, BLAga=8.55e-322
Mismatch at C[98,0]: ngsolve=361.7850937655017, BLAga=8.8e-322
Mismatch at C[99,0]: ngsolve=365.7146501639319, BLAga=9.04e-322
Mismatch at C[100,0]: ngsolve=373.9617881347565, BLAga=9.9e-322
Mismatch at C[101,0]: ngsolve=360.4108952782473, BLAga=8.84e-322
Mismatch at C[102,0]: ngsolve=356.8025115401606, BLAga=8.94e-322
Mismatch at C[103,0]: ngsolve=373.43374925560585, BLAga=9.9e-322
Mismatch at C[104,0]: ngsolve=354.52984029255776, BLAga=8.05e-322
Mismatch at C[105,0]: ngsolve=358.66514615035214, BLAga=9.04e-322
Mismatch at C[106,0]: ngsolve=369.2622639199221, BLAga=8.05e-322
Mismatch at C[107,0]: ngsolve=364.1583077211247, BLAga=8.74e-322
Mismatch at C[108,0]: ngsolve=347.34029633847655, BLAga=7.8e-322
Mismatch at C[109,0]: ngsolve=357.0368467376345, BLAga=9.14e-322
Mismatch at C[110,0]: ngsolve=355.3449939756523, BLAga=9.34e-322
Mismatch at C[111,0]: ngsolve=367.89848328751685, BLAga=9e-322
Mismatch at C[112,0]: ngsolve=367.36377120437885, BLAga=9.04e-322
Mismatch at C[113,0]: ngsolve=357.15160578972933, BLAga=9.14e-322
Mismatch at C[114,0]: ngsolve=353.4053283766539, BLAga=8.7e-322
Mismatch at C[115,0]: ngsolve=370.70382169711996, BLAga=8.65e-322
Mismatch at C[116,0]: ngsolve=359.2464688444219, BLAga=9.5e-322
Mismatch at C[117,0]: ngsolve=354.617381101155, BLAga=7.36e-322
Mismatch at C[118,0]: ngsolve=363.3875174615711, BLAga=9.1e-322
Mismatch at C[119,0]: ngsolve=359.6732425993585, BLAga=8.55e-322
Mismatch at C[120,0]: ngsolve=363.19022196288023, BLAga=8.15e-322
Mismatch at C[121,0]: ngsolve=361.6959599353518, BLAga=8.6e-322
Mismatch at C[122,0]: ngsolve=356.7644189483702, BLAga=9.3e-322
Mismatch at C[123,0]: ngsolve=366.2279722077969, BLAga=7.86e-322
Mismatch at C[124,0]: ngsolve=361.54855182136197, BLAga=8.74e-322
Mismatch at C[125,0]: ngsolve=374.9297665946973, BLAga=1.04e-321
Mismatch at C[126,0]: ngsolve=360.9646015713189, BLAga=7.5e-322
Mismatch at C[127,0]: ngsolve=365.128191523044, BLAga=8.5e-322
Mismatch at C[128,0]: ngsolve=372.6863750989114, BLAga=8.9e-322
Mismatch at C[129,0]: ngsolve=361.48770108020557, BLAga=8.84e-322
Mismatch at C[130,0]: ngsolve=363.1150089868392, BLAga=9.2e-322
Mismatch at C[131,0]: ngsolve=365.10041256151544, BLAga=8.2e-322
Mismatch at C[132,0]: ngsolve=364.1835660570116, BLAga=8.3e-322
Mismatch at C[133,0]: ngsolve=359.6065885965706, BLAga=9.3e-322
Mismatch at C[134,0]: ngsolve=368.5630532876533, BLAga=8.8e-322
Mismatch at C[135,0]: ngsolve=345.6950445320227, BLAga=8.9e-322
Mismatch at C[136,0]: ngsolve=356.4030427108183, BLAga=9.2e-322
Mismatch at C[137,0]: ngsolve=359.4766982050107, BLAga=8.84e-322
Mismatch at C[138,0]: ngsolve=370.8509660788709, BLAga=8.4e-322
Mismatch at C[139,0]: ngsolve=364.516645891294, BLAga=9.3e-322
Mismatch at C[140,0]: ngsolve=359.2268764480026, BLAga=8.4e-322
Mismatch at C[141,0]: ngsolve=367.26761363437, BLAga=7.8e-322
Mismatch at C[142,0]: ngsolve=350.45116185482846, BLAga=8.7e-322
Mismatch at C[143,0]: ngsolve=364.14265470245795, BLAga=8.25e-322
Mismatch at C[144,0]: ngsolve=350.9268486311749, BLAga=8.05e-322
Mismatch at C[145,0]: ngsolve=367.334891707088, BLAga=8.94e-322
Mismatch at C[146,0]: ngsolve=373.504396909685, BLAga=1.01e-321
Mismatch at C[147,0]: ngsolve=355.9463310121462, BLAga=8.9e-322
Mismatch at C[148,0]: ngsolve=366.2614639011303, BLAga=9.14e-322
Mismatch at C[149,0]: ngsolve=366.97746178650243, BLAga=8.55e-322
Mismatch at C[150,0]: ngsolve=359.2189710183306, BLAga=8.6e-322
Mismatch at C[151,0]: ngsolve=369.00864614370505, BLAga=8.84e-322
Mismatch at C[152,0]: ngsolve=362.5273483629071, BLAga=8.1e-322
Mismatch at C[153,0]: ngsolve=363.64930970706973, BLAga=8.65e-322
